frame,time_s,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg,speed_pct
1,0.0000,-34.766602,-104.033200,-151.753061,-17.671185,73.147767,-62.066878,0.00
2,0.0333,-34.831735,-104.751818,-152.947839,-17.773783,72.708293,-61.867027,19.91
3,0.0667,-34.935444,-105.412147,-153.948762,-17.897599,72.410169,-61.682571,16.68
4,0.1000,-35.076136,-106.044950,-154.815171,-18.043169,72.225733,-61.505812,14.44
5,0.1333,-35.252215,-106.670056,-155.586874,-18.210526,72.135411,-61.331861,12.86
6,0.1667,-35.463271,-107.271058,-156.232886,-18.397374,72.153114,-61.166523,10.77
7,0.2000,-35.708045,-107.867251,-156.791746,-18.604242,72.259918,-61.005180,9.94
8,0.2333,-35.985644,-108.471880,-157.289448,-18.831421,72.443302,-60.845053,10.08
9,0.2667,-36.296274,-109.074446,-157.705325,-19.077893,72.712862,-60.690445,10.04
10,0.3000,-36.638931,-109.687429,-158.064620,-19.344014,73.055874,-60.538842,10.22
11,0.3333,-37.013014,-110.319255,-158.384423,-19.630105,73.463684,-60.388844,10.53
12,0.3667,-37.419031,-110.963356,-158.650760,-19.935936,73.943191,-60.243874,10.74
13,0.4000,-37.856136,-111.627496,-158.880295,-20.261727,74.485344,-60.102762,11.07
14,0.4333,-38.324031,-112.051726,-158.589534,-20.586448,75.298724,-60.048291,13.56
15,0.4667,-38.822939,-112.495914,-158.262259,-20.933254,76.172271,-60.002590,14.56
16,0.5000,-39.352347,-112.951931,-157.885027,-21.301873,77.110022,-59.969730,15.63
17,0.5333,-39.912081,-113.408516,-157.437677,-21.692293,78.119285,-59.955148,16.82
18,0.5667,-40.501591,-113.872866,-156.935358,-22.105796,79.191611,-59.958358,17.87
19,0.6000,-41.120601,-114.332831,-156.357141,-22.542764,80.333932,-59.985296,19.04
20,0.6333,-41.769093,-114.771412,-155.671745,-23.003913,81.558087,-60.044220,20.40
21,0.6667,-42.445008,-115.198558,-154.903240,-23.490329,82.849088,-60.133737,21.52
22,0.7000,-43.148463,-115.596526,-154.019127,-24.003624,84.218780,-60.262814,22.83
23,0.7333,-43.879317,-115.938582,-152.970979,-24.545789,85.684785,-60.444121,24.43
24,0.7667,-44.633657,-116.239971,-151.796501,-25.117797,87.223428,-60.674633,25.64
25,0.8000,-45.411629,-116.473454,-150.445408,-25.723216,88.852954,-60.968331,27.16
26,0.8333,-46.212739,-116.598173,-148.842758,-26.366601,90.600376,-61.345747,29.12
27,0.8667,-47.030668,-116.640916,-147.052907,-27.048965,92.427090,-61.799593,30.45
28,0.9000,-47.865406,-116.564541,-145.006105,-27.777555,94.357984,-62.351096,34.11
29,0.9333,-48.715607,-116.310499,-142.595239,-28.562193,96.429984,-63.032169,40.18
30,0.9667,-49.572307,-115.921766,-139.919239,-29.403910,98.586869,-63.830017,44.60
31,1.0000,-50.434684,-115.342183,-136.873480,-30.317140,100.864101,-64.779563,50.76
32,1.0333,-51.299922,-114.487938,-133.305226,-31.322950,103.311310,-65.932492,59.47
33,1.0667,-52.157292,-113.431902,-129.372471,-32.423820,105.845789,-67.266333,65.55
34,1.1000,-53.005027,-112.096511,-124.933080,-33.649658,108.511202,-68.837734,73.99
35,1.1333,-53.840424,-110.368610,-119.784948,-35.047920,111.365592,-70.730823,85.80
36,1.1667,-54.657482,-108.376053,-114.188694,-36.629744,114.285225,-72.907440,93.27
37,1.2000,-55.466040,-106.029507,-107.983078,-38.471041,117.309018,-75.460784,100.00
38,1.2333,-56.265066,-104.110688,-102.602583,-40.401242,119.920213,-77.965851,89.67
39,1.2667,-56.992154,-103.904649,-100.410748,-41.863735,121.352586,-79.509891,36.53
40,1.3000,-57.642015,-104.443961,-99.641620,-43.029543,122.256875,-80.577736,19.43
41,1.3333,-58.210062,-105.341536,-99.591535,-43.982358,122.885758,-81.376540,15.88
42,1.3667,-58.689118,-106.441074,-99.978205,-44.751089,123.341373,-81.988109,18.33
43,1.4000,-59.072749,-107.649928,-100.632920,-45.354235,123.684371,-82.464774,20.15
44,1.4333,-59.357151,-108.953170,-101.555679,-45.776228,123.900000,-82.786906,21.72
45,1.4667,-59.545630,-110.399011,-102.895625,-45.970674,123.900000,-82.863664,24.10
46,1.5000,-59.602949,-111.851362,-104.281949,-46.004124,123.900000,-82.887242,24.21
47,1.5333,-59.518808,-113.302682,-105.707798,-45.865434,123.900000,-82.855734,24.19
48,1.5667,-59.283945,-114.745839,-107.166187,-45.544808,123.900000,-82.767966,24.31
49,1.6000,-59.051268,-115.930167,-108.309165,-45.257072,123.900000,-82.733726,19.74
50,1.6333,-58.979927,-116.628882,-108.814838,-45.222385,123.900000,-82.860918,11.65
51,1.6667,-59.071089,-116.859414,-108.701026,-45.442116,123.900000,-83.150095,4.82
52,1.7000,-59.328505,-116.629646,-107.972771,-45.922616,123.900000,-83.607191,12.14
53,1.7333,-59.761348,-115.933678,-106.615872,-46.679644,123.900000,-84.246217,22.61
54,1.7667,-60.382561,-114.756399,-104.602045,-47.736090,123.900000,-85.088680,33.56
55,1.8000,-61.213453,-113.072771,-101.885577,-49.128885,123.900000,-86.167816,45.27
56,1.8333,-62.283833,-110.852372,-98.406750,-50.909870,123.900000,-87.530841,57.98
57,1.8667,-63.612844,-108.092231,-94.136092,-53.116650,123.900000,-89.224544,71.18
58,1.9000,-65.228006,-104.798707,-89.041467,-55.803230,123.900000,-91.314015,84.91
59,1.9333,-67.138369,-101.023778,-83.137220,-59.000800,123.900000,-93.863362,98.40
60,1.9667,-69.238878,-96.926661,-76.611766,-62.568556,123.900000,-96.837766,100.00
61,2.0000,-71.386610,-92.661550,-69.681549,-66.304485,123.900000,-100.146529,100.00
62,2.0333,-73.361252,-88.366706,-62.645860,-69.864086,123.900000,-103.556651,100.00
63,2.0667,-74.892416,-84.090154,-55.856198,-72.765571,123.900000,-106.645761,100.00
64,2.1000,-75.933037,-79.721688,-49.394938,-74.848471,123.900000,-109.163567,100.00
65,2.1333,-76.518056,-75.117833,-43.245466,-76.081436,123.900000,-110.957564,100.00
66,2.1667,-77.131714,-70.075576,-37.401675,-76.807902,123.575607,-111.869401,97.40
67,2.2000,-78.614535,-64.328142,-31.824276,-77.685069,122.377838,-111.764455,95.79
68,2.2333,-80.636052,-57.744953,-26.463747,-78.422968,120.593274,-110.514517,100.00
69,2.2667,-83.014836,-50.131290,-21.346330,-78.865899,118.379036,-107.888241,100.00
70,2.3000,-85.619317,-41.232192,-16.542319,-78.923054,115.837331,-103.576417,100.00
71,2.3333,-88.043666,-31.223322,-12.262885,-78.432080,113.210269,-97.596218,100.00
72,2.3667,-89.690554,-20.411846,-8.717306,-77.018449,110.635179,-90.094799,100.00
73,2.4000,-91.935309,-9.800382,-6.216214,-76.470538,107.853851,-81.939901,100.00
74,2.4333,-95.571422,-0.522702,-5.005650,-77.885631,105.447015,-73.935179,100.00
75,2.4667,-99.916843,7.497749,-5.063387,-80.337949,103.936744,-65.850018,100.00
76,2.5000,-104.206311,15.031252,-6.253353,-82.674119,103.302889,-57.027227,100.00
77,2.5333,-107.882039,23.121671,-8.435506,-83.964704,103.189637,-46.578526,100.00
78,2.5667,-107.919113,31.966774,-11.551621,-81.774672,101.294424,-34.585834,100.00
79,2.6000,-109.188312,38.847148,-15.650660,-81.075090,100.149479,-23.557855,100.00
80,2.6333,-112.372950,46.122099,-19.952581,-81.127286,100.686400,-11.580649,100.00
81,2.6667,-115.422438,49.468752,-24.889218,-81.059715,102.014865,-2.911139,100.00
82,2.7000,-118.097058,50.249114,-30.044308,-80.821669,103.557354,3.339045,100.00
83,2.7333,-120.426658,49.869021,-35.200179,-80.392208,105.031575,8.381312,85.93
84,2.7667,-122.442629,48.894630,-40.289595,-79.804736,106.332324,12.727374,84.82
85,2.8000,-124.195228,47.599520,-45.296739,-79.087177,107.437393,16.647994,83.45
86,2.8333,-125.708348,46.121293,-50.197249,-78.274808,108.335051,20.259337,81.68
87,2.8667,-126.989855,44.547044,-54.956607,-77.409553,109.016465,23.610014,79.32
88,2.9000,-128.043781,42.937636,-59.539073,-76.531593,109.479408,26.719096,76.37
89,2.9333,-128.867843,41.343009,-63.900716,-75.684165,109.724346,29.584066,72.69
90,2.9667,-129.453409,39.810396,-67.988728,-74.912818,109.752992,32.189452,68.13
91,3.0000,-129.790683,38.382781,-71.745776,-74.260433,109.570994,34.512365,62.62
92,3.0333,-129.864709,37.104210,-75.106761,-73.769035,109.183449,36.524242,56.02
93,3.0667,-129.656170,36.020181,-77.999428,-73.478192,108.594127,38.192744,48.21
94,3.1000,-129.142813,35.174819,-80.349376,-73.421808,107.803840,39.484938,39.17
95,3.1333,-128.299134,34.611417,-82.080767,-73.626871,106.807869,40.368604,28.86
