frame,time_s,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg,speed_pct
70,2.3000,-88.670472,18.771112,-41.066926,-75.836041,106.609745,53.706143,29.24
71,2.3333,-89.789250,20.286377,-41.204595,-76.463496,106.845660,55.457369,29.19
72,2.3667,-90.978721,21.741192,-41.383580,-77.100753,107.198159,57.198074,29.01
73,2.4000,-92.240619,23.129259,-41.604117,-77.740831,107.672557,58.920839,28.71
74,2.4333,-93.576064,24.444706,-41.865733,-78.376721,108.272637,60.617820,28.28
75,2.4667,-94.985002,25.683031,-42.166743,-79.001690,108.999649,62.281128,27.72
76,2.5000,-96.467222,26.839496,-42.505671,-79.609017,109.854447,63.902997,27.03
77,2.5333,-98.021329,27.910200,-42.880406,-80.192486,110.835740,65.475805,26.21
78,2.5667,-99.644120,28.892622,-43.287789,-80.746845,111.939158,66.992462,27.05
79,2.6000,-101.331799,29.784300,-43.724832,-81.267250,113.159610,68.446296,28.13
80,2.6333,-103.078804,30.583507,-44.188240,-81.749954,114.489516,69.831205,29.12
81,2.6667,-104.877322,31.290285,-44.673563,-82.192645,115.918146,71.142041,29.98
82,2.7000,-106.718496,31.904497,-45.176907,-82.593728,117.433847,72.374119,30.69
83,2.7333,-108.591627,32.427027,-45.693867,-82.952941,119.022767,73.523510,31.22
84,2.7667,-110.483658,32.860272,-46.219494,-83.271747,120.668255,74.587325,31.53
85,2.8000,-112.380729,33.206515,-46.749168,-83.552201,122.353236,75.562936,31.62
86,2.8333,-114.112776,33.472869,-47.280233,-83.779018,123.900000,76.435841,28.87
87,2.8667,-114.315742,33.711990,-47.815583,-83.818347,123.900000,77.102468,11.11
88,2.9000,-114.497323,33.904441,-48.320129,-83.868405,123.900000,77.694898,9.87
89,2.9333,-114.658126,34.049589,-48.793953,-83.926113,123.900000,78.214149,8.65
90,2.9667,-114.799238,34.148740,-49.234920,-83.989566,123.900000,78.660843,7.44
91,3.0000,-114.921539,34.202592,-49.641443,-84.056980,123.900000,79.035513,6.78
92,3.0333,-115.025959,34.211902,-50.011690,-84.126805,123.900000,79.338487,6.17
93,3.0667,-115.113495,34.178393,-50.342572,-84.198003,123.900000,79.569573,5.51
94,3.1000,-115.184720,34.101813,-50.633053,-84.269057,123.900000,79.728853,4.84
95,3.1333,-115.240181,33.981936,-50.882030,-84.338547,123.900000,79.816225,4.15
96,3.1667,-115.280179,33.819286,-51.087175,-84.405436,123.900000,79.830937,3.42
97,3.2000,-115.304781,33.612259,-51.248470,-84.468287,123.900000,79.772559,3.45
98,3.2333,-115.311625,33.264353,-51.418812,-84.572038,123.900000,79.583281,5.80
99,3.2667,-115.300328,32.687428,-51.650492,-84.759096,123.900000,79.213044,9.62
100,3.3000,-115.274537,31.890348,-51.945795,-85.023458,123.900000,78.674477,13.28
101,3.3333,-115.237490,30.881802,-52.308532,-85.357885,123.900000,77.981861,16.81
102,3.3667,-115.190539,29.670608,-52.744712,-85.752615,123.900000,77.152546,20.19
103,3.4000,-115.136267,28.265134,-53.261159,-86.198271,123.900000,76.204216,23.42
104,3.4333,-115.076694,26.674249,-53.865474,-86.684595,123.900000,75.155980,26.51
105,3.4667,-115.010605,24.907330,-54.567669,-87.197692,123.900000,74.031089,29.45
