frame,time_s,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg,speed_pct
62,2.5417,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
63,2.5833,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
64,2.6250,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
65,2.6667,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
66,2.7083,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
67,2.7500,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
68,2.7917,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
69,2.8333,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
70,2.8750,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
71,2.9167,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
72,2.9583,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
73,3.0000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
74,3.0417,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
75,3.0833,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
76,3.1250,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
77,3.1667,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
78,3.2083,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
79,3.2500,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
80,3.2917,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
81,3.3333,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
82,3.3750,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
83,3.4167,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
