frame,time_s,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg,speed_pct
62,2.5417,0.000003,-37.765776,-58.696590,0.000043,-20.930867,-0.000041,3.66
63,2.5833,0.000003,-37.918628,-58.974401,0.000043,-21.055827,-0.000041,3.70
64,2.6250,0.000003,-38.073028,-59.255149,0.000042,-21.182160,-0.000041,3.74
65,2.6667,0.000004,-38.228962,-59.538766,0.000042,-21.309862,-0.000041,3.78
66,2.7083,0.000004,-38.386380,-59.825217,0.000042,-21.438891,-0.000041,3.82
67,2.7500,0.000004,-38.545271,-60.114462,0.000042,-21.569244,-0.000040,3.86
68,2.7917,0.000004,-38.705606,-60.406446,0.000042,-21.700894,-0.000040,3.89
69,2.8333,0.000004,-38.867352,-60.701114,0.000042,-21.833815,-0.000040,3.93
70,2.8750,0.000004,-39.030501,-60.998452,0.000042,-21.968001,-0.000040,3.96
71,2.9167,0.000004,-39.195003,-61.298386,0.000042,-22.103423,-0.000040,4.00
72,2.9583,0.000004,-39.360840,-61.600855,0.000042,-22.240059,-0.000040,4.03
73,3.0000,0.000004,-39.527995,-61.905843,0.000042,-22.377896,-0.000040,4.07
74,3.0417,0.000004,-39.696438,-62.213297,0.000042,-22.516909,-0.000040,4.10
75,3.0833,0.000004,-39.866127,-62.523149,0.000042,-22.657071,-0.000039,4.13
76,3.1250,0.000004,-40.037049,-62.835377,0.000042,-22.798371,-0.000039,4.16
77,3.1667,0.000004,-40.209177,-63.149900,0.000042,-22.940787,-0.000039,4.19
78,3.2083,0.000004,-40.382476,-63.466719,0.000042,-23.084291,-0.000039,4.22
79,3.2500,0.000004,-40.556926,-63.785736,0.000042,-23.228862,-0.000039,4.25
80,3.2917,0.000005,-40.732499,-64.106933,0.000042,-23.374483,-0.000039,4.28
81,3.3333,0.000005,-40.909169,-64.430254,0.000042,-23.521133,-0.000039,4.31
82,3.3750,0.000005,-41.086897,-64.755637,0.000042,-23.668784,-0.000039,4.34
83,3.4167,0.000005,-41.265670,-65.083049,0.000041,-23.817418,-0.000039,4.37
84,3.4583,0.000005,-41.445458,-65.412428,0.000041,-23.967019,-0.000039,4.39
85,3.5000,0.000005,-41.626226,-65.743733,0.000041,-24.117558,-0.000038,4.42
86,3.5417,0.000005,-41.807950,-66.076903,0.000041,-24.269003,-0.000038,4.44
87,3.5833,0.000005,-41.990603,-66.411903,0.000041,-24.421347,-0.000038,4.47
